zip,CON,DEM,GRE,IND,LIB,REP,UNK,total
2176,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
11209,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0
19093,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
20122,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
30097,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
37032,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,5400.0
38756,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0
39202,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
48001,0.0,6591.0,0.0,0.0,0.0,790.0,0.0,7381.0
48002,0.0,0.0,0.0,0.0,0.0,683.0,0.0,683.0
48003,0.0,797.0,0.0,0.0,0.0,2024.0,0.0,2821.0
48005,0.0,398.0,0.0,0.0,0.0,350.0,0.0,748.0
48006,0.0,676.0,0.0,0.0,0.0,3617.0,0.0,4293.0
48009,0.0,178547.0,610.0,0.0,240.0,237310.0,500.0,417207.0
48012,0.0,3511.0,0.0,0.0,228.0,1500.0,0.0,5239.0
48014,0.0,752.0,0.0,0.0,0.0,0.0,0.0,752.0
48015,0.0,1376.0,0.0,0.0,0.0,0.0,0.0,1376.0
48017,0.0,6983.0,0.0,0.0,0.0,13362.0,0.0,20345.0
48021,0.0,4068.0,0.0,0.0,435.0,5332.0,0.0,9835.0
48022,0.0,428.0,0.0,0.0,0.0,25.0,0.0,453.0
48023,0.0,250.0,0.0,0.0,0.0,2300.0,0.0,2550.0
48025,0.0,109034.0,300.0,2700.0,750.0,90136.0,100.0,203020.0
48026,0.0,5323.0,0.0,0.0,0.0,7939.0,0.0,13262.0
48027,0.0,243.0,0.0,0.0,0.0,1416.0,0.0,1659.0
48028,0.0,238.0,0.0,0.0,0.0,820.0,0.0,1058.0
48030,0.0,2489.0,0.0,0.0,0.0,401.0,0.0,2890.0
48033,0.0,6384.0,0.0,0.0,0.0,3357.0,0.0,9741.0
48034,0.0,22036.0,0.0,0.0,0.0,23545.0,0.0,45581.0
48035,0.0,3177.0,0.0,0.0,0.0,2607.0,0.0,5784.0
48036,0.0,4592.0,0.0,0.0,0.0,6049.0,0.0,10641.0
48037,0.0,482.0,0.0,0.0,0.0,0.0,0.0,482.0
48038,0.0,11277.0,0.0,0.0,100.0,7372.0,0.0,18749.0
48039,0.0,721.0,0.0,0.0,0.0,2850.0,0.0,3571.0
48040,0.0,600.0,0.0,0.0,0.0,2766.0,0.0,3366.0
48041,0.0,0.0,0.0,0.0,0.0,1310.0,0.0,1310.0
48042,0.0,9879.0,535.0,0.0,0.0,3150.0,0.0,13564.0
48043,0.0,2553.0,158.0,0.0,0.0,1320.0,0.0,4031.0
48044,0.0,7522.0,250.0,0.0,0.0,9699.0,0.0,17471.0
48045,0.0,5148.0,0.0,0.0,560.0,13177.0,0.0,18885.0
48047,0.0,10734.0,0.0,0.0,30.0,15759.0,0.0,26523.0
48048,0.0,103.0,0.0,0.0,0.0,1610.0,0.0,1713.0
48049,0.0,0.0,0.0,0.0,0.0,3305.0,0.0,3305.0
48050,0.0,20.0,0.0,0.0,0.0,225.0,0.0,245.0
48051,0.0,1105.0,0.0,0.0,0.0,2303.0,0.0,3408.0
48054,0.0,960.0,0.0,0.0,0.0,3493.0,0.0,4453.0
48059,0.0,2339.0,0.0,0.0,0.0,10169.0,0.0,12508.0
48060,0.0,7728.0,0.0,0.0,0.0,4760.0,0.0,12488.0
48061,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0
48062,0.0,819.0,0.0,0.0,0.0,2194.0,0.0,3013.0
48063,0.0,250.0,0.0,0.0,500.0,840.0,0.0,1590.0
48064,0.0,3180.0,0.0,0.0,0.0,200.0,0.0,3380.0
48065,0.0,4118.0,0.0,0.0,0.0,4300.0,0.0,8418.0
48066,0.0,7054.0,0.0,0.0,0.0,1615.0,0.0,8669.0
48067,0.0,67292.0,750.0,0.0,0.0,32568.0,0.0,100610.0
48068,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0
48069,0.0,27387.0,50.0,0.0,0.0,4300.0,0.0,31737.0
48070,0.0,68017.0,460.0,0.0,46.0,12442.0,0.0,80965.0
48071,0.0,12713.0,0.0,0.0,0.0,3095.0,0.0,15808.0
48072,0.0,25852.0,0.0,0.0,1395.0,3275.0,0.0,30522.0
48073,0.0,48611.0,1059.0,5400.0,0.0,14985.0,0.0,70055.0
48074,0.0,1004.0,0.0,250.0,0.0,619.0,0.0,1873.0
48075,0.0,16183.0,0.0,0.0,5000.0,10512.0,0.0,31695.0
48076,0.0,16572.0,0.0,0.0,0.0,24109.0,0.0,40681.0
48079,0.0,4032.0,0.0,0.0,100.0,6565.0,0.0,10697.0
48080,0.0,12995.0,0.0,0.0,0.0,8519.0,0.0,21514.0
48081,0.0,6655.0,200.0,0.0,0.0,11750.0,0.0,18605.0
48082,0.0,2818.0,0.0,0.0,0.0,3940.0,0.0,6758.0
48083,0.0,17460.0,0.0,0.0,1000.0,14389.0,0.0,32849.0
48084,0.0,29986.0,0.0,0.0,1000.0,74464.0,0.0,105450.0
48085,0.0,26048.0,0.0,0.0,0.0,7174.0,0.0,33222.0
48088,0.0,4232.0,572.0,0.0,500.0,1205.0,0.0,6509.0
48089,0.0,2892.0,0.0,0.0,50.0,2443.0,0.0,5385.0
48091,0.0,2463.0,0.0,0.0,0.0,4833.0,0.0,7296.0
48092,0.0,7287.0,0.0,0.0,0.0,15074.0,0.0,22361.0
48093,0.0,4131.0,0.0,0.0,0.0,4452.0,0.0,8583.0
48094,0.0,6679.0,0.0,0.0,0.0,18075.0,0.0,24754.0
48095,0.0,200.0,0.0,0.0,0.0,6805.0,0.0,7005.0
48096,0.0,341.0,0.0,0.0,0.0,2375.0,0.0,2716.0
48097,0.0,180.0,0.0,0.0,0.0,50.0,0.0,230.0
48098,0.0,31995.0,750.0,0.0,0.0,47889.0,0.0,80634.0
48099,0.0,2700.0,0.0,0.0,0.0,1450.0,0.0,4150.0
48101,0.0,6904.0,116.0,0.0,0.0,2333.0,0.0,9353.0
48103,0.0,303922.0,2940.0,250.0,1307.0,41828.0,1000.0,351247.0
48104,0.0,257714.0,2000.0,0.0,10667.0,47232.0,2000.0,319613.0
48105,0.0,212189.0,2500.0,0.0,920.0,49668.0,0.0,265277.0
48106,0.0,2902.0,0.0,0.0,0.0,6335.0,0.0,9237.0
48107,0.0,3666.0,0.0,0.0,0.0,8100.0,0.0,11766.0
48108,0.0,62503.0,500.0,5400.0,0.0,9682.0,0.0,78085.0
48109,0.0,1427.0,0.0,0.0,0.0,0.0,0.0,1427.0
48111,0.0,8987.0,0.0,0.0,0.0,11520.0,0.0,20507.0
48113,0.0,1243.0,0.0,0.0,0.0,0.0,0.0,1243.0
48114,0.0,13545.0,863.0,0.0,0.0,16626.0,0.0,31034.0
48116,0.0,25967.0,0.0,0.0,250.0,61719.0,0.0,87936.0
48117,0.0,50.0,0.0,0.0,0.0,2966.0,0.0,3016.0
48118,0.0,32741.0,3000.0,25.0,0.0,4879.0,0.0,40645.0
48120,0.0,6281.0,527.0,0.0,100.0,1000.0,0.0,7908.0
48121,0.0,304.0,0.0,0.0,0.0,0.0,0.0,304.0
48122,0.0,910.0,0.0,0.0,0.0,100.0,0.0,1010.0
48124,0.0,65459.0,0.0,0.0,2700.0,11987.0,0.0,80146.0
48125,0.0,2032.0,0.0,0.0,0.0,1405.0,0.0,3437.0
48126,0.0,29045.0,879.0,500.0,0.0,12578.0,0.0,43002.0
48127,0.0,16886.0,0.0,0.0,0.0,8003.0,0.0,24889.0
48128,0.0,16329.0,0.0,0.0,0.0,490.0,0.0,16819.0
48130,0.0,36587.0,250.0,0.0,0.0,20175.0,0.0,57012.0
48131,0.0,2529.0,0.0,0.0,250.0,605.0,0.0,3384.0
48133,0.0,250.0,0.0,0.0,0.0,100.0,0.0,350.0
48134,0.0,3896.0,0.0,0.0,0.0,2778.0,0.0,6674.0
48135,0.0,5260.0,0.0,0.0,0.0,6216.0,0.0,11476.0
48137,0.0,1518.0,0.0,0.0,0.0,315.0,0.0,1833.0
48138,0.0,13549.0,0.0,250.0,250.0,42480.0,0.0,56529.0
48139,0.0,350.0,0.0,0.0,0.0,0.0,0.0,350.0
48140,0.0,1384.0,0.0,0.0,0.0,1885.0,0.0,3269.0
48141,0.0,520.0,0.0,0.0,0.0,567.0,0.0,1087.0
48144,0.0,3171.0,300.0,0.0,0.0,650.0,0.0,4121.0
48145,0.0,875.0,0.0,0.0,0.0,0.0,0.0,875.0
48146,0.0,4403.0,0.0,0.0,0.0,2764.0,0.0,7167.0
48150,0.0,6807.0,0.0,0.0,0.0,11195.0,0.0,18002.0
48151,0.0,3114.0,0.0,0.0,0.0,0.0,0.0,3114.0
48152,0.0,15191.0,500.0,0.0,400.0,31984.0,0.0,48075.0
48153,0.0,0.0,0.0,0.0,250.0,115.0,0.0,365.0
48154,0.0,21239.0,250.0,0.0,250.0,20817.0,0.0,42556.0
48157,0.0,1850.0,0.0,0.0,0.0,750.0,0.0,2600.0
48158,0.0,11213.0,250.0,0.0,0.0,4310.0,0.0,15773.0
48159,0.0,170.0,0.0,0.0,0.0,25.0,0.0,195.0
48160,0.0,6453.0,0.0,0.0,0.0,6238.0,0.0,12691.0
48161,0.0,7621.0,250.0,0.0,0.0,1685.0,0.0,9556.0
48162,0.0,2276.0,0.0,0.0,0.0,5140.0,0.0,7416.0
48164,0.0,557.0,0.0,0.0,0.0,2169.0,0.0,2726.0
48165,0.0,1704.0,0.0,250.0,0.0,15450.0,0.0,17404.0
48166,0.0,655.0,0.0,0.0,0.0,1060.0,0.0,1715.0
48167,0.0,42982.0,230.0,0.0,0.0,17846.0,0.0,61058.0
48168,0.0,43916.0,0.0,1000.0,400.0,41579.0,0.0,86895.0
48169,0.0,15409.0,0.0,0.0,0.0,18111.0,0.0,33520.0
48170,0.0,52420.0,1000.0,0.0,0.0,48171.0,0.0,101591.0
48173,0.0,3766.0,0.0,0.0,270.0,1744.0,0.0,5780.0
48174,0.0,1992.0,0.0,0.0,0.0,1020.0,0.0,3012.0
48176,0.0,23308.0,500.0,0.0,458.0,25621.0,0.0,49887.0
48178,0.0,21426.0,0.0,0.0,0.0,14230.0,0.0,35656.0
48179,0.0,447.0,0.0,0.0,0.0,250.0,0.0,697.0
48180,0.0,8873.0,0.0,0.0,0.0,10763.0,0.0,19636.0
48182,0.0,5660.0,0.0,0.0,0.0,6370.0,0.0,12030.0
48183,0.0,9093.0,0.0,0.0,0.0,11868.0,0.0,20961.0
48184,0.0,7792.0,0.0,0.0,0.0,1308.0,0.0,9100.0
48185,0.0,4744.0,0.0,0.0,0.0,6112.0,0.0,10856.0
48186,0.0,5062.0,0.0,0.0,0.0,3556.0,0.0,8618.0
48187,0.0,25900.0,0.0,5400.0,0.0,30289.0,0.0,61589.0
48188,0.0,17901.0,0.0,0.0,0.0,7339.0,0.0,25240.0
48189,0.0,2798.0,0.0,0.0,0.0,3521.0,0.0,6319.0
48190,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0
48191,0.0,10100.0,0.0,0.0,0.0,2476.0,0.0,12576.0
48192,0.0,9405.0,0.0,0.0,0.0,1600.0,0.0,11005.0
48193,0.0,2923.0,0.0,0.0,0.0,957.0,0.0,3880.0
48195,0.0,4571.0,0.0,0.0,0.0,25388.0,0.0,29959.0
48197,0.0,49520.0,319.0,5000.0,750.0,5576.0,0.0,61165.0
48198,0.0,34786.0,120.0,0.0,0.0,23890.0,0.0,58796.0
48201,0.0,12194.0,0.0,0.0,0.0,1052.0,0.0,13246.0
48202,0.0,26834.0,0.0,0.0,500.0,325.0,0.0,27659.0
48203,0.0,20476.0,0.0,0.0,0.0,508.0,0.0,20984.0
48204,0.0,2075.0,435.0,0.0,0.0,157.0,0.0,2667.0
48205,0.0,1439.0,0.0,0.0,0.0,225.0,0.0,1664.0
48206,0.0,1690.0,250.0,0.0,0.0,0.0,0.0,1940.0
48207,0.0,37123.0,800.0,0.0,0.0,13750.0,0.0,51673.0
48208,0.0,4817.0,0.0,0.0,0.0,0.0,0.0,4817.0
48209,0.0,1007.0,242.0,0.0,0.0,5494.0,0.0,6743.0
48210,0.0,592.0,0.0,0.0,0.0,117.0,0.0,709.0
48211,0.0,350.0,0.0,0.0,0.0,250.0,0.0,600.0
48212,0.0,5774.0,0.0,0.0,0.0,0.0,0.0,5774.0
48213,0.0,1963.0,0.0,0.0,0.0,19380.0,0.0,21343.0
48214,0.0,20747.0,0.0,0.0,0.0,267.0,0.0,21014.0
48215,0.0,3912.0,0.0,0.0,0.0,950.0,0.0,4862.0
48216,0.0,7326.0,0.0,0.0,0.0,0.0,0.0,7326.0
48217,0.0,25.0,0.0,0.0,0.0,850.0,0.0,875.0
48219,0.0,16987.0,0.0,0.0,0.0,125.0,0.0,17112.0
48220,0.0,32258.0,224.0,0.0,0.0,3300.0,0.0,35782.0
48221,0.0,20896.0,0.0,0.0,50.0,3000.0,0.0,23946.0
48223,0.0,4263.0,0.0,0.0,0.0,80.0,0.0,4343.0
48224,0.0,8226.0,35.0,0.0,0.0,1625.0,0.0,9886.0
48225,0.0,3360.0,0.0,0.0,0.0,4566.0,0.0,7926.0
48226,0.0,46589.0,0.0,0.0,500.0,37709.0,0.0,84798.0
48227,0.0,2748.0,0.0,0.0,0.0,0.0,0.0,2748.0
48228,0.0,2387.0,0.0,0.0,0.0,596.0,0.0,2983.0
48229,0.0,252.0,0.0,0.0,0.0,0.0,0.0,252.0
48230,0.0,92406.0,850.0,562.0,340.0,80468.0,0.0,174626.0
48232,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,2013.0
48234,0.0,715.0,0.0,0.0,0.0,0.0,0.0,715.0
48235,0.0,1487.0,0.0,0.0,0.0,1000.0,0.0,2487.0
48236,0.0,73325.0,478.0,0.0,1000.0,155116.0,0.0,229919.0
48237,0.0,16769.0,0.0,0.0,0.0,18297.0,0.0,35066.0
48238,0.0,8822.0,0.0,0.0,0.0,1000.0,0.0,9822.0
48239,0.0,10891.0,0.0,0.0,0.0,2630.0,0.0,13521.0
48240,0.0,4783.0,0.0,0.0,0.0,7612.0,0.0,12395.0
48244,0.0,687.0,0.0,0.0,0.0,0.0,0.0,687.0
48301,0.0,55068.0,0.0,0.0,400.0,110715.0,0.0,166183.0
48302,0.0,134341.0,650.0,500.0,0.0,129733.0,0.0,265224.0
48303,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,2100.0
48304,0.0,133196.0,0.0,0.0,2560.0,213921.0,0.0,349677.0
48306,0.0,31371.0,0.0,0.0,100.0,45595.0,0.0,77066.0
48307,0.0,20689.0,0.0,0.0,100.0,29483.0,0.0,50272.0
48308,0.0,532.0,0.0,0.0,0.0,0.0,0.0,532.0
48309,0.0,18533.0,0.0,0.0,150.0,23331.0,0.0,42014.0
48310,0.0,4812.0,0.0,0.0,0.0,8468.0,0.0,13280.0
48311,0.0,500.0,0.0,0.0,0.0,1100.0,0.0,1600.0
48312,0.0,8742.0,500.0,0.0,604.0,6136.0,0.0,15982.0
48313,0.0,9149.0,0.0,0.0,250.0,6029.0,0.0,15428.0
48314,0.0,10823.0,0.0,0.0,200.0,11873.0,0.0,22896.0
48315,0.0,8439.0,0.0,0.0,0.0,13719.0,0.0,22158.0
48316,0.0,12529.0,0.0,0.0,0.0,19795.0,0.0,32324.0
48317,0.0,3613.0,0.0,0.0,0.0,4286.0,0.0,7899.0
48318,0.0,635.0,0.0,0.0,0.0,1000.0,0.0,1635.0
48320,0.0,1821.0,0.0,0.0,0.0,3274.0,0.0,5095.0
48321,0.0,97.0,0.0,0.0,0.0,1250.0,0.0,1347.0
48322,0.0,69835.0,0.0,0.0,650.0,68444.0,0.0,138929.0
48323,0.0,59775.0,0.0,0.0,2936.0,81494.0,0.0,144205.0
48324,0.0,31185.0,500.0,0.0,1250.0,94413.0,0.0,127348.0
48325,0.0,977.0,0.0,0.0,0.0,0.0,0.0,977.0
48326,0.0,8251.0,0.0,0.0,0.0,6824.0,0.0,15075.0
48327,0.0,5908.0,0.0,0.0,0.0,4965.0,0.0,10873.0
48328,0.0,7242.0,0.0,0.0,0.0,11381.0,0.0,18623.0
48329,0.0,9149.0,2050.0,0.0,150.0,12779.0,0.0,24128.0
48330,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0
48331,0.0,48223.0,404.0,0.0,40.0,26012.0,0.0,74679.0
48332,0.0,99.0,0.0,0.0,0.0,0.0,0.0,99.0
48333,0.0,1418.0,0.0,0.0,0.0,400.0,0.0,1818.0
48334,0.0,49412.0,0.0,150.0,0.0,78372.0,0.0,127934.0
48335,0.0,19270.0,0.0,0.0,0.0,7450.0,0.0,26720.0
48336,0.0,20885.0,0.0,0.0,0.0,15437.0,0.0,36322.0
48340,0.0,1406.0,0.0,0.0,0.0,518.0,0.0,1924.0
48341,0.0,3709.0,0.0,0.0,0.0,2605.0,0.0,6314.0
48342,0.0,4433.0,0.0,0.0,0.0,1745.0,0.0,6178.0
48343,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,1114.0
48346,0.0,7762.0,345.0,0.0,0.0,20070.0,0.0,28177.0
48347,0.0,85.0,0.0,0.0,0.0,12851.0,0.0,12936.0
48348,0.0,7920.0,0.0,282.0,0.0,25327.0,0.0,33529.0
48350,0.0,1031.0,0.0,0.0,0.0,4238.0,0.0,5269.0
48353,0.0,2151.0,451.0,0.0,0.0,4492.0,0.0,7094.0
48356,0.0,1544.0,0.0,0.0,0.0,1684.0,0.0,3228.0
48357,0.0,2827.0,250.0,0.0,0.0,6720.0,0.0,9797.0
48359,0.0,2177.0,0.0,0.0,0.0,675.0,0.0,2852.0
48360,0.0,2777.0,256.0,0.0,100.0,8061.0,0.0,11194.0
48362,0.0,5188.0,0.0,0.0,165.0,16502.0,0.0,21855.0
48363,0.0,2252.0,0.0,0.0,0.0,29230.0,0.0,31482.0
48367,0.0,181.0,0.0,0.0,0.0,3325.0,0.0,3506.0
48370,0.0,738.0,0.0,0.0,0.0,3060.0,0.0,3798.0
48371,0.0,6703.0,0.0,0.0,0.0,11974.0,0.0,18677.0
48374,0.0,23890.0,0.0,0.0,35.0,23944.0,0.0,47869.0
48375,0.0,13612.0,2500.0,0.0,0.0,19053.0,0.0,35165.0
48376,0.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0
48377,0.0,7404.0,500.0,0.0,0.0,10787.0,0.0,18691.0
48380,0.0,4683.0,0.0,0.0,0.0,34355.0,0.0,39038.0
48381,0.0,9563.0,0.0,0.0,0.0,7217.0,0.0,16780.0
48382,0.0,13286.0,0.0,0.0,260.0,13987.0,0.0,27533.0
48383,0.0,2546.0,0.0,0.0,0.0,10139.0,0.0,12685.0
48386,0.0,6747.0,0.0,0.0,0.0,5977.0,0.0,12724.0
48387,0.0,62.0,0.0,0.0,0.0,250.0,0.0,312.0
48390,0.0,9661.0,0.0,0.0,2600.0,10530.0,0.0,22791.0
48393,0.0,2576.0,0.0,0.0,0.0,7597.0,0.0,10173.0
48401,0.0,598.0,0.0,0.0,0.0,250.0,0.0,848.0
48411,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
48412,0.0,230.0,0.0,0.0,0.0,275.0,0.0,505.0
48413,0.0,1238.0,0.0,0.0,0.0,1305.0,0.0,2543.0
48414,0.0,466.0,0.0,0.0,0.0,0.0,0.0,466.0
48415,0.0,478.0,0.0,0.0,0.0,1845.0,0.0,2323.0
48416,0.0,124.0,0.0,0.0,0.0,860.0,0.0,984.0
48418,0.0,386.0,0.0,0.0,0.0,1223.0,0.0,1609.0
48419,0.0,0.0,0.0,0.0,0.0,117.0,0.0,117.0
48420,0.0,7102.0,0.0,0.0,0.0,2975.0,0.0,10077.0
48421,0.0,3472.0,0.0,0.0,225.0,607.0,0.0,4304.0
48422,0.0,100.0,0.0,0.0,0.0,963.0,0.0,1063.0
48423,0.0,8383.0,0.0,0.0,0.0,10365.0,0.0,18748.0
48427,0.0,160.0,0.0,0.0,0.0,275.0,0.0,435.0
48428,0.0,638.0,0.0,0.0,0.0,1505.0,0.0,2143.0
48429,0.0,2680.0,0.0,0.0,0.0,2793.0,0.0,5473.0
48430,0.0,31560.0,0.0,0.0,0.0,19362.0,0.0,50922.0
48433,0.0,12857.0,0.0,0.0,0.0,8966.0,0.0,21823.0
48434,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
48436,0.0,805.0,0.0,0.0,0.0,1560.0,0.0,2365.0
48437,0.0,163.0,0.0,0.0,0.0,0.0,0.0,163.0
48438,0.0,3338.0,0.0,0.0,0.0,1900.0,0.0,5238.0
48439,0.0,25452.0,0.0,0.0,150.0,17729.0,0.0,43331.0
48440,0.0,150.0,0.0,0.0,0.0,0.0,0.0,150.0
48441,0.0,501.0,0.0,0.0,0.0,375.0,0.0,876.0
48442,0.0,3442.0,0.0,0.0,0.0,6509.0,0.0,9951.0
48444,0.0,569.0,0.0,0.0,0.0,1305.0,0.0,1874.0
48445,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0
48446,0.0,9632.0,0.0,0.0,50.0,4474.0,0.0,14156.0
48449,0.0,3173.0,0.0,0.0,0.0,700.0,0.0,3873.0
48450,0.0,350.0,0.0,0.0,0.0,350.0,0.0,700.0
48451,0.0,5839.0,0.0,0.0,0.0,1320.0,0.0,7159.0
48453,0.0,1353.0,0.0,0.0,0.0,2887.0,0.0,4240.0
48455,0.0,1484.0,0.0,0.0,0.0,3176.0,0.0,4660.0
48456,0.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0
48457,0.0,977.0,0.0,0.0,0.0,760.0,0.0,1737.0
48458,0.0,2593.0,0.0,0.0,0.0,360.0,0.0,2953.0
48460,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,1350.0
48461,0.0,100.0,0.0,0.0,0.0,800.0,0.0,900.0
48462,0.0,3172.0,0.0,0.0,0.0,4801.0,0.0,7973.0
